YEAR,PORT NAME,STATE,SPPNAME,LANDED LBS,LIVE LBS,VALUE
1964,CUMBERLAND,ME,"COD, ATLANTIC","10,885","12,735",$491.00
1964,CUMBERLAND,ME,CUSK,"10,410","11,763",$626.00
1964,CUMBERLAND,ME,HADDOCK,"1,460","1,664",$137.00
1964,CUMBERLAND,ME,"HAKE, WHITE",555,744,$35.00
1964,CUMBERLAND,ME,"HALIBUT, ATLANTIC",145,167,$61.00
1964,CUMBERLAND,ME,"OTHER FISH, BONY","56,595","56,595",$399.00
1964,CUMBERLAND,ME,POLLOCK,165,186,$7.00
1964,CUMBERLAND,ME,"TUNA, BLUEFIN","4,900","4,900",$387.00
1964,CUMBERLAND,ME,CONFIDENTIAL,"13,995,194","14,909,149","$1,609,192.00"
1964,HANCOCK,ME,"COD, ATLANTIC","129,680","151,723","$4,107.00"
1964,HANCOCK,ME,CUSK,"7,006","7,917",$244.00
1964,HANCOCK,ME,"FLOUNDER, AMERICAN PLAICE","14,007","14,007",$557.00
1964,HANCOCK,ME,"FLOUNDER, WINTER","8,910","8,910",$518.00
1964,HANCOCK,ME,"FLOUNDER, WITCH","50,151","50,151","$4,405.00"
1964,HANCOCK,ME,HADDOCK,"159,394","181,709","$15,049.00"
1964,HANCOCK,ME,"HAKE, WHITE","761,391","1,020,264","$34,904.00"
1964,HANCOCK,ME,"HALIBUT, ATLANTIC","19,881","22,864","$8,484.00"
1964,HANCOCK,ME,POLLOCK,"19,271","21,776",$688.00
1964,HANCOCK,ME,"POMPANO, KILLIFISH",25,25,$5.00
1964,HANCOCK,ME,"SCALLOP, SEA","61,216","509,929","$34,024.00"
1964,HANCOCK,ME,"WOLFFISH, ATLANTIC","3,476","4,171",$92.00
1964,HANCOCK,ME,CONFIDENTIAL,"17,106,705","17,996,854","$4,238,533.00"
1964,KNOX,ME,"COD, ATLANTIC","309,107","361,653","$9,327.00"
1964,KNOX,ME,CUSK,"43,379","49,020",$930.00
1964,KNOX,ME,"FLOUNDER, AMERICAN PLAICE","4,707","4,707",$122.00
1964,KNOX,ME,"FLOUNDER, WINTER","5,019","5,019",$233.00
1964,KNOX,ME,"FLOUNDER, WITCH","32,353","32,353","$2,616.00"
1964,KNOX,ME,HADDOCK,"302,423","344,760","$29,247.00"
1964,KNOX,ME,"HAKE, WHITE","761,722","1,020,705","$38,149.00"
1964,KNOX,ME,"HALIBUT, ATLANTIC","26,697","30,701","$9,230.00"
1964,KNOX,ME,POLLOCK,"147,210","166,346","$3,193.00"
1964,KNOX,ME,"REDFISH, ACADIAN",350,350,$7.00
1964,KNOX,ME,"SCALLOP, SEA","72,047","600,151","$40,210.00"
1964,KNOX,ME,"SHRIMP, PANDALID","23,363","23,363","$2,740.00"
1964,KNOX,ME,"WOLFFISH, ATLANTIC",542,651,$15.00
1964,KNOX,ME,CONFIDENTIAL,"29,068,449","30,377,966","$4,620,787.00"
1964,LINCOLN,ME,"COD, ATLANTIC","30,188","35,323","$1,474.00"
1964,LINCOLN,ME,CUSK,"3,392","3,834",$248.00
1964,LINCOLN,ME,"FLOUNDER, AMERICAN PLAICE","173,778","173,778","$8,004.00"
1964,LINCOLN,ME,"FLOUNDER, WINTER","45,776","45,776","$2,433.00"
1964,LINCOLN,ME,"FLOUNDER, WITCH","87,662","87,662","$7,383.00"
1964,LINCOLN,ME,HADDOCK,"51,910","59,177","$3,852.00"
1964,LINCOLN,ME,"HAKE, SILVER","4,409,720","4,409,720","$64,913.00"
1964,LINCOLN,ME,"HAKE, WHITE","75,170","100,725","$5,961.00"
1964,LINCOLN,ME,"HALIBUT, ATLANTIC","1,045","1,202",$395.00
1964,LINCOLN,ME,"HERRING, ATLANTIC","864,480","864,480","$20,520.00"
1964,LINCOLN,ME,"MACKEREL, ATLANTIC","41,148","41,148","$2,024.00"
1964,LINCOLN,ME,"OTHER FISH, BONY","703,728","703,728","$4,599.00"
1964,LINCOLN,ME,POLLOCK,"3,951","4,441",$147.00
1964,LINCOLN,ME,"REDFISH, ACADIAN","1,088","1,088",$25.00
1964,LINCOLN,ME,"SHRIMP, PANDALID","434,889","434,889","$47,330.00"
1964,LINCOLN,ME,"WOLFFISH, ATLANTIC","1,306","1,567",$70.00
1964,LINCOLN,ME,CONFIDENTIAL,"3,784,080","4,989,387","$1,766,853.00"
1964,PORTLAND,ME,"COD, ATLANTIC","1,126,590","1,318,060","$72,013.00"
1964,PORTLAND,ME,CUSK,"188,435","212,913","$11,877.00"
1964,PORTLAND,ME,"FLOUNDER, AMERICAN PLAICE","243,051","243,051","$11,825.00"
1964,PORTLAND,ME,"FLOUNDER, WINTER","2,085","2,085",$128.00
1964,PORTLAND,ME,"FLOUNDER, WITCH","101,496","101,496","$9,217.00"
1964,PORTLAND,ME,HADDOCK,"1,511,461","1,722,988","$159,486.00"
1964,PORTLAND,ME,"HAKE, SILVER","17,502,242","17,548,112","$258,951.00"
1964,PORTLAND,ME,"HAKE, WHITE","308,637","413,538","$21,939.00"
1964,PORTLAND,ME,"HALIBUT, ATLANTIC","8,543","9,819","$3,255.00"
1964,PORTLAND,ME,"OTHER FISH, BONY","756,478","756,478","$4,835.00"
1964,PORTLAND,ME,POLLOCK,"888,305","990,254","$36,228.00"
1964,PORTLAND,ME,"POMPANO, KILLIFISH","3,404","3,404",$361.00
1964,PORTLAND,ME,"REDFISH, ACADIAN","26,886,560","26,886,560","$1,208,213.00"
1964,PORTLAND,ME,"SCALLOP, SEA","441,967","3,681,585","$240,474.00"
1964,PORTLAND,ME,"SHARK, DOGFISH, NK","187,644","225,173","$1,216.00"
1964,PORTLAND,ME,"SHRIMP, PANDALID","319,293","319,293","$42,619.00"
1964,PORTLAND,ME,"TUNA, BLUEFIN","10,753","10,753",$927.00
1964,PORTLAND,ME,"WOLFFISH, ATLANTIC","7,745","9,294",$350.00
1964,PORTLAND,ME,CONFIDENTIAL,"193,278","241,545","$83,906.00"
1964,ROCKLAND,ME,"COD, ATLANTIC","142,550","166,776","$6,418.00"
1964,ROCKLAND,ME,CUSK,"57,260","64,696","$2,871.00"
1964,ROCKLAND,ME,"FLOUNDER, AMERICAN PLAICE","40,655","40,655","$1,627.00"
1964,ROCKLAND,ME,"FLOUNDER, WINTER","9,305","9,305",$297.00
1964,ROCKLAND,ME,"FLOUNDER, WITCH","220,435","220,435","$16,012.00"
1964,ROCKLAND,ME,HADDOCK,"428,340","488,277","$40,691.00"
1964,ROCKLAND,ME,"HAKE, SILVER","4,900","4,900",$74.00
1964,ROCKLAND,ME,"HAKE, WHITE","129,970","174,152","$6,381.00"
1964,ROCKLAND,ME,"HALIBUT, ATLANTIC","5,220","6,003","$1,202.00"
1964,ROCKLAND,ME,"OTHER FISH, BONY","67,950","67,950",$442.00
1964,ROCKLAND,ME,POLLOCK,"88,335","99,806","$2,895.00"
1964,ROCKLAND,ME,"REDFISH, ACADIAN","32,041,335","32,041,335","$1,291,926.00"
1964,ROCKLAND,ME,"WOLFFISH, ATLANTIC","7,075","8,490",$287.00
1964,ROCKLAND,ME,CONFIDENTIAL,"311,264","2,592,828","$170,537.00"
1964,SAGADAHOC,ME,"COD, ATLANTIC","194,070","227,062","$10,202.00"
1964,SAGADAHOC,ME,CUSK,"16,220","18,329",$866.00
1964,SAGADAHOC,ME,"FLOUNDER, AMERICAN PLAICE","96,505","96,505","$4,135.00"
1964,SAGADAHOC,ME,"FLOUNDER, WINTER","5,483","5,483",$244.00
1964,SAGADAHOC,ME,"FLOUNDER, WITCH","5,505","5,505",$420.00
1964,SAGADAHOC,ME,"FLOUNDER, YELLOWTAIL","5,410","5,410",$156.00
1964,SAGADAHOC,ME,HADDOCK,"48,400","55,175","$4,204.00"
1964,SAGADAHOC,ME,"HAKE, SILVER","3,387,197","3,387,197","$49,564.00"
1964,SAGADAHOC,ME,"HAKE, WHITE","8,463","11,340",$460.00
1964,SAGADAHOC,ME,"HALIBUT, ATLANTIC","1,110","1,277",$528.00
1964,SAGADAHOC,ME,"LOBSTER, AMERICAN","683,257","683,257","$428,781.00"
1964,SAGADAHOC,ME,"OTHER FISH, BONY","136,205","136,205","$2,189.00"
1964,SAGADAHOC,ME,POLLOCK,"4,105","4,639",$197.00
1964,SAGADAHOC,ME,"POMPANO, KILLIFISH",727,727,$89.00
1964,SAGADAHOC,ME,"SCALLOP, SEA",100,833,$60.00
1964,SAGADAHOC,ME,"SHARK, NK",170,204,$9.00
1964,SAGADAHOC,ME,"SHRIMP, PANDALID","147,122","147,122","$18,937.00"
1964,SAGADAHOC,ME,"TUNA, BLUEFIN","30,968","30,968","$1,892.00"
1964,SAGADAHOC,ME,"WOLFFISH, ATLANTIC","1,350","1,620",$61.00
1964,SAGADAHOC,ME,CONFIDENTIAL,"4,045,953","4,249,617","$116,679.00"
1964,WASHINGTON,ME,"COD, ATLANTIC","97,261","113,794","$2,957.00"
1964,WASHINGTON,ME,HADDOCK,"68,805","78,436","$5,259.00"
1964,WASHINGTON,ME,"HAKE, WHITE","473,253","634,159","$15,671.00"
1964,WASHINGTON,ME,"HALIBUT, ATLANTIC","3,643","4,189","$1,564.00"
1964,WASHINGTON,ME,POLLOCK,"29,645","33,499",$744.00
1964,WASHINGTON,ME,"SCALLOP, SEA","30,298","252,382","$16,447.00"
1964,WASHINGTON,ME,CONFIDENTIAL,"13,616,254","16,129,592","$2,356,505.00"
1964,YORK,ME,"COD, ATLANTIC","6,085","7,120",$313.00
1964,YORK,ME,CUSK,"1,360","1,537",$145.00
1964,YORK,ME,HADDOCK,"5,665","6,459",$798.00
1964,YORK,ME,"HAKE, WHITE",90,121,$6.00
1964,YORK,ME,"HALIBUT, ATLANTIC",320,368,$121.00
1964,YORK,ME,POLLOCK,345,389,$17.00
1964,YORK,ME,"TUNA, BLUEFIN","4,725","4,725",$515.00
1964,YORK,ME,CONFIDENTIAL,"1,478,159","1,606,635","$933,490.00"
1964,ACUSHNET,MA,"REDFISH, ACADIAN","58,000","58,000","$2,741.00"
1964,ACUSHNET,MA,CONFIDENTIAL,"29,700","33,561","$1,460.00"
1964,AMESBURY,MA,"COD, ATLANTIC","180,805","211,541","$15,703.00"
1964,AMESBURY,MA,CUSK,"3,720","4,203",$98.00
1964,AMESBURY,MA,"FLOUNDER, AMERICAN PLAICE",18,18,$0.00
1964,AMESBURY,MA,"FLOUNDER, WINTER",451,451,$32.00
1964,AMESBURY,MA,"FLOUNDER, WITCH",26,26,$2.00
1964,AMESBURY,MA,"FLOUNDER, YELLOWTAIL",356,356,$26.00
1964,AMESBURY,MA,HADDOCK,"160,901","183,427","$19,229.00"
1964,AMESBURY,MA,"HAKE, WHITE",305,409,$17.00
1964,AMESBURY,MA,"HALIBUT, ATLANTIC","17,899","20,584","$9,279.00"
1964,AMESBURY,MA,"HERRING, ATLANTIC","5,250","5,250",$79.00
1964,AMESBURY,MA,"MACKEREL, ATLANTIC",4,4,$1.00
1964,AMESBURY,MA,"MENHADEN, ATLANTIC","1,450","1,450",$29.00
1964,AMESBURY,MA,POLLOCK,"4,664","5,270",$145.00
1964,AMESBURY,MA,"POMPANO, KILLIFISH","1,202","1,202",$122.00
1964,AMESBURY,MA,"SHAD, AMERICAN","2,510","2,510",$176.00
1964,AMESBURY,MA,TAUTOG,330,330,$7.00
1964,AMESBURY,MA,"WOLFFISH, ATLANTIC","1,735","2,082",$66.00
1964,BARNSTABLE,MA,"FLOUNDER, SUMMER","2,020","2,020",$477.00
1964,BARNSTABLE,MA,CONFIDENTIAL,"41,555","41,610","$3,025.00"
1964,BOSTON,MA,BUTTERFISH,390,390,$69.00
1964,BOSTON,MA,"COD, ATLANTIC","14,847,759","17,371,574","$1,206,537.00"
1964,BOSTON,MA,CUSK,"992,535","1,121,491","$64,670.00"
1964,BOSTON,MA,"FLOUNDER, AMERICAN PLAICE","1,549,537","1,549,537","$95,815.00"
1964,BOSTON,MA,"FLOUNDER, WINTER","1,660,120","1,660,120","$176,379.00"
1964,BOSTON,MA,"FLOUNDER, WITCH","462,165","462,165","$57,315.00"
1964,BOSTON,MA,"FLOUNDER, YELLOWTAIL","2,034,233","2,034,233","$101,120.00"
1964,BOSTON,MA,HADDOCK,"76,242,212","86,916,058","$7,962,171.00"
1964,BOSTON,MA,"HAKE, SILVER","147,255","243,053","$8,141.00"
1964,BOSTON,MA,"HAKE, WHITE","1,022,190","1,369,718","$87,561.00"
1964,BOSTON,MA,"HALIBUT, ATLANTIC","61,425","70,599","$20,432.00"
1964,BOSTON,MA,POLLOCK,"6,710,477","7,580,822","$418,250.00"
1964,BOSTON,MA,"POMPANO, KILLIFISH","122,510","122,510","$10,537.00"
1964,BOSTON,MA,"REDFISH, ACADIAN","1,121,335","1,121,335","$47,081.00"
1964,BOSTON,MA,"SHARK, NK","1,735","2,082",$112.00
1964,BOSTON,MA,"SKATE, NK","4,945","4,945",$239.00
1964,BOSTON,MA,"WOLFFISH, ATLANTIC","514,095","616,914","$29,646.00"
1964,BOSTON,MA,CONFIDENTIAL,"2,325","2,719",$163.00
1964,CHATHAM,MA,"BASS, STRIPED","10,802","10,802","$1,517.00"
1964,CHATHAM,MA,BLUEFISH,"7,679","7,692","$1,190.00"
1964,CHATHAM,MA,"BONITO, ATLANTIC","11,362","11,362","$1,799.00"
1964,CHATHAM,MA,BUTTERFISH,"2,974","2,974",$567.00
1964,CHATHAM,MA,"COD, ATLANTIC","1,981,899","2,318,824","$148,389.00"
1964,CHATHAM,MA,CUSK,"33,431","37,777",$872.00
1964,CHATHAM,MA,"FLOUNDER, AMERICAN PLAICE",44,44,$2.00
1964,CHATHAM,MA,"FLOUNDER, SUMMER","1,634","1,634",$367.00
1964,CHATHAM,MA,"FLOUNDER, WINTER","16,787","16,787","$1,070.00"
1964,CHATHAM,MA,"FLOUNDER, WITCH",111,111,$5.00
1964,CHATHAM,MA,"FLOUNDER, YELLOWTAIL","12,626","12,626",$632.00
1964,CHATHAM,MA,HADDOCK,"978,738","1,115,759","$109,065.00"
1964,CHATHAM,MA,"HAKE, RED",355,355,$15.00
1964,CHATHAM,MA,"HAKE, WHITE","15,840","21,225",$838.00
1964,CHATHAM,MA,"HALIBUT, ATLANTIC","22,044","25,350","$11,626.00"
1964,CHATHAM,MA,"HERRING, ATLANTIC","154,150","154,150","$2,312.00"
1964,CHATHAM,MA,"MACKEREL, ATLANTIC","58,899","58,899","$14,740.00"
1964,CHATHAM,MA,"MENHADEN, ATLANTIC",600,600,$6.00
1964,CHATHAM,MA,POLLOCK,"98,943","111,806","$3,538.00"
1964,CHATHAM,MA,"POMPANO, KILLIFISH","6,551","6,551",$731.00
1964,CHATHAM,MA,"REDFISH, ACADIAN",37,37,$0.00
1964,CHATHAM,MA,SCUP,"22,858","22,858","$2,093.00"
1964,CHATHAM,MA,"SEA BASS, BLACK",41,41,$5.00
1964,CHATHAM,MA,"SHAD, AMERICAN","26,071","26,071","$2,085.00"
1964,CHATHAM,MA,"SQUID, LOLIGINIDAE","35,050","35,050","$6,897.00"
1964,CHATHAM,MA,TAUTOG,"8,182","8,182",$164.00
1964,CHATHAM,MA,"TUNA, BLUEFIN",906,906,$36.00
1964,CHATHAM,MA,"WOLFFISH, ATLANTIC","2,708","3,250",$96.00
1964,GLOUCESTER,MA,ALEWIFE,"3,998,630","3,998,630","$39,985.00"
1964,GLOUCESTER,MA,"BASS, STRIPED","2,067","2,067",$351.00
1964,GLOUCESTER,MA,BUTTERFISH,"8,795","8,795",$725.00
1964,GLOUCESTER,MA,"COD, ATLANTIC","4,276,080","5,002,414","$310,075.00"
1964,GLOUCESTER,MA,CUSK,"648,614","732,802","$32,256.00"
1964,GLOUCESTER,MA,"FLOUNDER, AMERICAN PLAICE","1,890,134","1,890,134","$87,647.00"
1964,GLOUCESTER,MA,"FLOUNDER, SUMMER","1,450","1,450",$142.00
1964,GLOUCESTER,MA,"FLOUNDER, WINTER","141,615","141,615","$9,693.00"
1964,GLOUCESTER,MA,"FLOUNDER, WITCH","1,089,321","1,089,321","$107,179.00"
1964,GLOUCESTER,MA,"FLOUNDER, YELLOWTAIL","180,920","180,920","$9,869.00"
1964,GLOUCESTER,MA,HADDOCK,"22,935,598","26,145,835","$2,196,659.00"
1964,GLOUCESTER,MA,"HAKE, RED","57,730","57,730","$1,975.00"
1964,GLOUCESTER,MA,"HAKE, SILVER","42,270,430","42,276,420","$961,264.00"
1964,GLOUCESTER,MA,"HAKE, WHITE","1,301,645","1,743,892","$83,246.00"
1964,GLOUCESTER,MA,"HALIBUT, ATLANTIC","77,650","89,242","$24,303.00"
1964,GLOUCESTER,MA,"HERRING, ATLANTIC","67,290","67,290",$716.00
1964,GLOUCESTER,MA,"MACKEREL, ATLANTIC","603,617","603,617","$33,002.00"
1964,GLOUCESTER,MA,MONKFISH/ANGLER/GOOSEFISH,"3,010","9,992",$93.00
1964,GLOUCESTER,MA,"OTHER FISH, BONY","2,667,980","2,667,980","$27,506.00"
1964,GLOUCESTER,MA,POLLOCK,"3,491,189","3,939,604","$178,472.00"
1964,GLOUCESTER,MA,"POMPANO, KILLIFISH","6,162,390","6,162,390","$404,349.00"
1964,GLOUCESTER,MA,"REDFISH, ACADIAN","29,047,257","29,047,257","$1,229,257.00"
1964,GLOUCESTER,MA,"SCALLOP, SEA","609,283","5,075,327","$330,228.00"
1964,GLOUCESTER,MA,"SHAD, AMERICAN","5,710","5,710",$312.00
1964,GLOUCESTER,MA,"SHARK, NK","2,153","2,584",$83.00
1964,GLOUCESTER,MA,"SHRIMP, PANDALID","6,925","6,925",$916.00
1964,GLOUCESTER,MA,"SKATE, NK","33,320","33,320","$1,298.00"
1964,GLOUCESTER,MA,"SQUID, LOLIGINIDAE","18,180","18,180",$605.00
1964,GLOUCESTER,MA,"STURGEON, NK",285,342,$32.00
1964,GLOUCESTER,MA,"TUNA, BLUEFIN","6,130","6,130",$395.00
1964,GLOUCESTER,MA,"WOLFFISH, ATLANTIC","94,370","113,244","$4,620.00"
1964,GLOUCESTER,MA,CONFIDENTIAL,"15,008","15,188","$7,507.00"
1964,NANTUCKET,MA,"BASS, STRIPED","3,701","3,701",$594.00
1964,NANTUCKET,MA,BLUEFISH,656,656,$113.00
1964,NANTUCKET,MA,"COD, ATLANTIC","3,144","3,677",$193.00
1964,NANTUCKET,MA,"EEL, AMERICAN","1,400","1,400",$140.00
1964,NANTUCKET,MA,"FLOUNDER, SUMMER","5,868","5,868","$1,638.00"
1964,NANTUCKET,MA,"FLOUNDER, WINTER","7,512","7,512",$495.00
1964,NANTUCKET,MA,"HAKE, SILVER",410,410,$11.00
1964,NANTUCKET,MA,"HERRING, ATLANTIC","6,559","6,559",$106.00
1964,NANTUCKET,MA,SCUP,"36,785","36,785","$3,653.00"
1964,NANTUCKET,MA,"SEA BASS, BLACK",785,785,$180.00
1964,NANTUCKET,MA,"SHAD, AMERICAN",60,60,$4.00
1964,NANTUCKET,MA,"SQUID, LOLIGINIDAE",765,765,$103.00
1964,NANTUCKET,MA,CONFIDENTIAL,"56,217","56,690","$2,214.00"
1964,NEW BEDFORD,MA,BUTTERFISH,"5,905","5,905",$656.00
1964,NEW BEDFORD,MA,"COD, ATLANTIC","6,001,173","7,021,018","$507,646.00"
1964,NEW BEDFORD,MA,CUSK,"4,050","4,575",$150.00
1964,NEW BEDFORD,MA,"FLOUNDER, AMERICAN PLAICE","1,831,270","1,831,270","$179,423.00"
1964,NEW BEDFORD,MA,"FLOUNDER, SUMMER","1,341,810","1,341,810","$437,469.00"
1964,NEW BEDFORD,MA,"FLOUNDER, WINTER","10,629,660","10,629,660","$1,239,844.00"
1964,NEW BEDFORD,MA,"FLOUNDER, WITCH","685,455","685,455","$83,086.00"
1964,NEW BEDFORD,MA,"FLOUNDER, YELLOWTAIL","65,756,390","65,756,390","$4,531,248.00"
1964,NEW BEDFORD,MA,HADDOCK,"12,127,890","13,825,156","$1,118,339.00"
1964,NEW BEDFORD,MA,"HAKE, WHITE","6,650","8,909",$369.00
1964,NEW BEDFORD,MA,"HALIBUT, ATLANTIC","11,250","12,931","$3,084.00"
1964,NEW BEDFORD,MA,"LOBSTER, AMERICAN","1,681,511","1,681,511","$891,445.00"
1964,NEW BEDFORD,MA,"MACKEREL, ATLANTIC","472,400","472,400","$24,159.00"
1964,NEW BEDFORD,MA,"OTHER FISH, BONY","18,351,568","18,351,568","$171,719.00"
1964,NEW BEDFORD,MA,POLLOCK,"80,130","90,519","$3,447.00"
1964,NEW BEDFORD,MA,"SCALLOP, SEA","12,910,242","107,542,298","$7,012,273.00"
1964,NEW BEDFORD,MA,SCUP,"390,510","390,510","$28,359.00"
1964,NEW BEDFORD,MA,"SEA BASS, BLACK","5,305","5,305",$508.00
1964,NEW BEDFORD,MA,"SHARK, NK","4,064","4,877",$156.00
1964,NEW BEDFORD,MA,"SQUID, LOLIGINIDAE","1,045","1,045",$77.00
1964,NEW BEDFORD,MA,"STURGEON, NK",805,966,$78.00
1964,NEW BEDFORD,MA,SWORDFISH,"870,522","1,088,162","$308,396.00"
1964,NEW BEDFORD,MA,"TILEFISH, NK","166,915","181,937","$16,440.00"
1964,NEW BEDFORD,MA,"TUNA, BLUEFIN","1,338,074","1,338,074","$104,292.00"
1964,NEW BEDFORD,MA,"TUNA, SKIPJACK","865,840","865,840","$71,298.00"
1964,NEW BEDFORD,MA,CONFIDENTIAL,"162,610","163,064","$3,489.00"
1964,PLYMOUTH,MA,BUTTERFISH,"4,878","4,878",$720.00
1964,PLYMOUTH,MA,"COD, ATLANTIC","203,719","238,338","$14,565.00"
1964,PLYMOUTH,MA,CUSK,320,362,$11.00
1964,PLYMOUTH,MA,"FLOUNDER, AMERICAN PLAICE","95,085","95,085","$4,904.00"
1964,PLYMOUTH,MA,"FLOUNDER, SUMMER",697,697,$195.00
1964,PLYMOUTH,MA,"FLOUNDER, WINTER","274,835","274,835","$22,305.00"
1964,PLYMOUTH,MA,"FLOUNDER, WITCH","343,095","343,095","$34,208.00"
1964,PLYMOUTH,MA,"FLOUNDER, YELLOWTAIL","922,000","922,000","$62,467.00"
1964,PLYMOUTH,MA,HADDOCK,"64,820","73,867","$6,078.00"
1964,PLYMOUTH,MA,"HAKE, RED","64,370","64,370","$1,304.00"
1964,PLYMOUTH,MA,"HAKE, SILVER","711,970","728,395","$18,009.00"
1964,PLYMOUTH,MA,"HAKE, WHITE","14,420","19,300",$675.00
1964,PLYMOUTH,MA,"HALIBUT, ATLANTIC",685,785,$136.00
1964,PLYMOUTH,MA,MONKFISH/ANGLER/GOOSEFISH,"26,740","88,774",$785.00
1964,PLYMOUTH,MA,POLLOCK,"3,480","3,902",$168.00
1964,PLYMOUTH,MA,"POUT, OCEAN","705,375","705,375","$10,700.00"
1964,PLYMOUTH,MA,"SKATE, NK","23,115","23,115",$799.00
1964,PLYMOUTH,MA,"STURGEON, NK",215,258,$32.00
1964,PLYMOUTH,MA,"WOLFFISH, ATLANTIC","6,110","7,332",$171.00
1964,PLYMOUTH,MA,CONFIDENTIAL,"251,935","251,935","$17,396.00"
1964,PROVINCETOWN,MA,"BASS, STRIPED","65,633","65,633","$10,237.00"
1964,PROVINCETOWN,MA,BLUEFISH,500,500,$85.00
1964,PROVINCETOWN,MA,"BONITO, ATLANTIC",235,235,$38.00
1964,PROVINCETOWN,MA,BUTTERFISH,"36,804","36,804","$6,297.00"
1964,PROVINCETOWN,MA,"COD, ATLANTIC","1,817,580","2,126,591","$145,213.00"
1964,PROVINCETOWN,MA,CUSK,"1,325","1,495",$50.00
1964,PROVINCETOWN,MA,"FLOUNDER, AMERICAN PLAICE","158,925","158,925","$8,795.00"
1964,PROVINCETOWN,MA,"FLOUNDER, SUMMER",80,80,$22.00
1964,PROVINCETOWN,MA,"FLOUNDER, WINTER","2,553,498","2,553,498","$249,767.00"
1964,PROVINCETOWN,MA,"FLOUNDER, WITCH","321,100","321,100","$35,032.00"
1964,PROVINCETOWN,MA,"FLOUNDER, YELLOWTAIL","1,964,545","1,964,545","$166,402.00"
1964,PROVINCETOWN,MA,HADDOCK,"1,720,035","1,960,712","$139,873.00"
1964,PROVINCETOWN,MA,"HAKE, RED","185,220","185,220","$3,814.00"
1964,PROVINCETOWN,MA,"HAKE, SILVER","6,078,040","6,655,279","$162,821.00"
1964,PROVINCETOWN,MA,"HAKE, WHITE","58,320","78,114","$3,546.00"
1964,PROVINCETOWN,MA,"HALIBUT, ATLANTIC","5,441","6,247","$2,731.00"
1964,PROVINCETOWN,MA,"HERRING, ATLANTIC","1,525,715","1,525,715","$27,440.00"
1964,PROVINCETOWN,MA,"MACKEREL, ATLANTIC","1,013,432","1,013,432","$67,747.00"
1964,PROVINCETOWN,MA,"NEEDLEFISH, ATLANTIC",250,250,$12.00
1964,PROVINCETOWN,MA,"OTHER FISH, BONY","405,500","405,500","$6,789.00"
1964,PROVINCETOWN,MA,POLLOCK,"134,364","149,933","$6,967.00"
1964,PROVINCETOWN,MA,"POMPANO, KILLIFISH","57,983","57,983","$4,554.00"
1964,PROVINCETOWN,MA,"POUT, OCEAN","1,746,940","1,746,940","$21,913.00"
1964,PROVINCETOWN,MA,"REDFISH, ACADIAN","105,365","105,365","$1,451.00"
1964,PROVINCETOWN,MA,"SCALLOP, SEA","180,390","1,502,648","$94,122.00"
1964,PROVINCETOWN,MA,"SHAD, AMERICAN","4,385","4,385",$229.00
1964,PROVINCETOWN,MA,"SHARK, NK","1,165","1,398",$56.00
1964,PROVINCETOWN,MA,"SQUID, LOLIGINIDAE","177,070","177,070","$3,351.00"
1964,PROVINCETOWN,MA,"STURGEON, NK","1,198","1,438",$198.00
1964,PROVINCETOWN,MA,TAUTOG,610,610,$19.00
1964,PROVINCETOWN,MA,"TUNA, BLUEFIN","536,237","536,237","$29,033.00"
1964,PROVINCETOWN,MA,"WOLFFISH, ATLANTIC","45,650","54,780","$1,960.00"
1964,PROVINCETOWN,MA,CONFIDENTIAL,"39,200","42,642","$2,714.00"
1964,SALEM,MA,"BASS, STRIPED",196,196,$30.00
1964,SALEM,MA,BLUEFISH,"3,405","3,405",$549.00
1964,SALEM,MA,"BONITO, ATLANTIC","2,238","2,238",$361.00
1964,SALEM,MA,BUTTERFISH,830,830,$165.00
1964,SALEM,MA,"MACKEREL, ATLANTIC",10,10,$1.00
1964,SALEM,MA,SCUP,"2,976","2,976",$208.00
1964,SALEM,MA,"SQUID, LOLIGINIDAE",25,25,$5.00
1964,SANDWICH,MA,BLUEFISH,273,273,$47.00
1964,SANDWICH,MA,BUTTERFISH,"7,555","7,555","$1,215.00"
1964,SANDWICH,MA,"COD, ATLANTIC","179,273","209,739","$14,484.00"
1964,SANDWICH,MA,"FLOUNDER, AMERICAN PLAICE","5,620","5,620",$227.00
1964,SANDWICH,MA,"FLOUNDER, SUMMER","3,694","3,694","$1,213.00"
1964,SANDWICH,MA,"FLOUNDER, WINTER","601,155","601,155","$44,313.00"
1964,SANDWICH,MA,"FLOUNDER, WITCH","4,775","4,775",$470.00
1964,SANDWICH,MA,"FLOUNDER, YELLOWTAIL","53,244","53,244","$3,886.00"
1964,SANDWICH,MA,HADDOCK,"10,215","11,640",$844.00
1964,SANDWICH,MA,"HAKE, RED","2,568,050","2,568,050","$25,679.00"
1964,SANDWICH,MA,"HAKE, SILVER","6,159,290","6,161,899","$112,780.00"
1964,SANDWICH,MA,"HAKE, WHITE","6,600","8,840",$419.00
1964,SANDWICH,MA,"HERRING, ATLANTIC","42,440","42,440","$2,779.00"
1964,SANDWICH,MA,"OTHER FISH, BONY","2,988,615","2,988,615","$42,827.00"
1964,SANDWICH,MA,POLLOCK,"7,617","8,608",$353.00
1964,SANDWICH,MA,"POMPANO, KILLIFISH","59,615","59,615","$4,645.00"
1964,SANDWICH,MA,SCUP,"19,445","19,445","$1,389.00"
